,Education,Alcohol,Party,Grades,G3
239,8,2,5,31,15
240,7,4,6,28,15
241,4,6,8,20,10
242,2,4,7,26,12
243,2,6,8,14,5
244,5,5,8,26,13
245,2,6,6,28,15
246,4,6,8,13,8
247,4,2,5,24,14
248,4,2,4,22,10
249,3,4,4,13,0
250,4,4,6,22,11
251,2,4,6,22,10
252,8,4,7,24,10
253,8,3,5,28,14
254,4,2,3,21,10
255,8,2,4,28,15
256,4,5,7,20,10
257,7,2,4,26,15
258,6,5,8,11,6
259,4,2,3,20,9
260,2,3,3,13,0
261,4,3,7,19,11
262,5,2,4,22,10
263,3,2,3,25,12
264,7,2,3,16,8
265,6,2,4,31,16
266,6,5,5,33,17
267,4,10,10,21,10
268,3,4,7,23,11
269,8,6,7,22,11
270,7,4,5,35,18
271,5,4,7,29,15
272,4,4,5,20,9
273,3,3,6,29,14
274,3,2,3,19,9
275,6,2,4,29,16
276,6,2,4,26,13
277,5,4,8,29,14
278,8,2,2,33,17
279,6,2,4,24,13
280,2,2,4,22,11
281,5,2,3,14,9
282,2,6,7,16,8
283,8,3,6,25,14
284,6,2,3,19,8
285,6,2,3,29,15
286,7,2,3,24,11
287,3,3,7,12,6
288,6,2,4,26,12
289,4,10,10,14,8
290,6,2,5,19,9
291,7,5,9,24,12
292,8,2,4,33,17
293,5,4,5,22,12
294,4,5,8,26,11
295,6,2,6,21,9
296,8,3,6,30,16
297,5,4,7,31,15
298,6,2,4,20,10
299,3,9,9,15,8
300,8,3,3,18,10
301,6,6,8,12,8
302,2,5,5,15,10
303,4,2,5,15,8
304,2,3,4,16,10
305,6,8,10,29,16
306,5,2,3,24,11
307,4,9,9,18,9
308,5,4,6,23,12
309,4,4,6,17,8
310,4,7,8,18,10
311,3,7,10,17,10
312,8,2,5,11,6
313,8,2,3,32,15
314,5,3,4,12,0
315,7,2,6,16,8
