,school,sex,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,health,absences,G3
53,GP,M,16,U,GT3,T,other,other,reputation,father,2,4,no,yes,yes,no,yes,yes,yes,no,4,3,5,0,15
54,GP,M,17,U,GT3,T,other,other,course,mother,1,2,no,yes,no,yes,yes,yes,yes,yes,5,2,2,4,11
55,GP,F,15,R,LE3,T,other,other,reputation,father,2,4,no,yes,no,no,no,yes,yes,no,4,4,3,12,16
56,GP,F,16,U,GT3,T,other,other,reputation,mother,1,2,yes,yes,yes,yes,yes,yes,no,no,4,4,4,6,10
57,GP,F,15,U,GT3,T,at_home,other,course,mother,3,1,no,yes,no,yes,no,yes,yes,yes,4,3,4,0,0
58,GP,M,15,U,GT3,T,other,other,home,mother,1,1,no,yes,yes,no,yes,yes,yes,no,4,2,5,2,11
59,GP,F,18,U,LE3,T,other,other,home,other,1,2,no,no,no,yes,no,yes,yes,yes,4,3,2,0,0
60,GP,M,17,R,GT3,T,at_home,other,home,mother,1,2,no,no,no,no,yes,yes,no,no,3,1,3,4,10
61,MS,M,18,U,GT3,T,teacher,teacher,home,father,1,2,no,no,yes,yes,no,yes,yes,no,3,2,2,4,14
62,GP,F,15,U,GT3,A,services,services,reputation,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,4,3,1,0,15
63,GP,F,15,U,GT3,T,services,at_home,course,mother,1,3,no,yes,no,yes,yes,yes,yes,yes,4,3,5,0,0
64,GP,M,16,U,GT3,T,services,other,home,father,1,3,no,yes,no,yes,yes,yes,yes,no,5,3,5,2,18
65,GP,M,16,R,GT3,T,teacher,services,other,mother,1,1,no,yes,no,yes,yes,yes,yes,yes,4,3,3,10,9
66,GP,F,16,U,GT3,T,teacher,services,home,mother,1,3,no,yes,no,yes,no,yes,yes,no,5,3,5,0,14
67,MS,F,18,U,GT3,T,at_home,services,course,father,2,1,no,yes,yes,no,yes,yes,yes,yes,5,2,4,0,10
68,GP,F,16,U,GT3,T,at_home,other,course,mother,1,2,no,yes,no,no,yes,yes,yes,no,2,4,3,12,5
69,GP,M,15,U,GT3,A,other,other,home,other,1,3,no,yes,no,no,yes,yes,yes,yes,4,5,3,0,16
70,GP,M,17,U,GT3,T,other,other,home,mother,1,1,no,yes,no,no,yes,yes,yes,no,5,4,5,0,0
71,GP,F,17,R,GT3,T,at_home,other,course,father,1,3,no,yes,no,no,yes,yes,yes,yes,4,4,5,7,14
72,GP,F,18,U,GT3,T,at_home,at_home,other,mother,1,3,no,yes,yes,no,yes,yes,yes,no,4,3,2,5,19
73,GP,M,15,U,LE3,A,services,other,home,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,2,1,0,19
74,GP,F,18,R,GT3,T,at_home,other,course,mother,2,4,no,no,no,yes,yes,yes,no,no,4,4,4,0,0
75,GP,M,19,U,LE3,A,services,at_home,reputation,mother,1,2,no,yes,no,no,yes,yes,yes,no,4,3,1,12,11
76,GP,F,17,U,GT3,A,services,services,course,mother,1,2,no,yes,yes,no,yes,yes,yes,yes,5,2,5,23,13
77,GP,M,15,U,GT3,T,teacher,other,course,mother,2,2,no,yes,yes,no,yes,yes,yes,no,5,4,3,2,11
78,GP,F,17,U,LE3,T,services,services,course,father,1,2,no,no,no,yes,yes,yes,yes,yes,4,3,5,0,15
79,GP,M,17,U,LE3,A,services,other,home,mother,2,1,no,no,yes,yes,yes,yes,yes,yes,4,5,5,30,8
80,GP,F,17,U,LE3,T,at_home,at_home,home,father,2,3,no,no,no,no,yes,yes,yes,no,3,3,2,0,15
81,GP,M,18,U,LE3,T,teacher,teacher,home,mother,1,1,no,yes,yes,no,yes,yes,yes,yes,1,4,1,5,16
82,GP,M,18,U,GT3,T,services,services,other,mother,1,1,no,no,no,no,no,no,yes,no,3,2,5,4,8
83,GP,F,17,U,GT3,T,at_home,other,reputation,mother,1,3,no,yes,no,yes,yes,yes,no,yes,4,3,5,0,0
84,GP,M,15,R,GT3,T,teacher,at_home,course,mother,1,2,no,yes,no,yes,yes,yes,yes,yes,4,5,5,0,16
85,GP,F,16,R,GT3,T,services,services,reputation,mother,2,4,no,yes,yes,yes,no,yes,yes,no,5,3,5,6,11
86,GP,M,16,R,GT3,T,services,services,reputation,mother,1,1,no,yes,no,yes,yes,yes,yes,no,4,3,5,8,10
87,GP,M,17,U,LE3,T,services,other,home,mother,1,2,no,yes,yes,no,yes,yes,yes,yes,5,3,3,13,13
88,GP,F,16,U,GT3,T,other,services,home,mother,1,2,yes,yes,yes,yes,yes,yes,yes,no,4,3,5,54,11
89,MS,M,17,R,GT3,T,services,other,home,mother,2,2,no,yes,yes,yes,no,yes,yes,yes,4,5,2,4,11
90,GP,F,19,U,GT3,T,at_home,other,other,other,3,2,no,yes,no,no,yes,no,yes,yes,3,4,2,20,13
91,MS,F,18,U,GT3,T,other,other,course,mother,2,2,no,no,no,yes,yes,yes,no,no,1,1,5,0,0
92,GP,F,16,U,GT3,T,other,other,reputation,mother,1,2,no,yes,yes,no,yes,yes,yes,no,1,2,1,14,12
93,GP,M,17,R,GT3,T,at_home,at_home,home,mother,1,2,no,yes,yes,yes,no,yes,no,yes,3,5,1,2,14
94,MS,F,18,U,GT3,T,services,services,other,mother,2,2,no,yes,no,no,yes,yes,yes,yes,4,3,3,0,10
95,GP,M,15,U,GT3,T,other,other,reputation,father,1,1,no,no,no,no,yes,yes,yes,no,3,4,4,6,13
96,MS,F,17,U,LE3,A,services,other,reputation,mother,2,2,no,no,no,no,yes,yes,no,yes,1,2,5,2,11
97,GP,F,17,R,GT3,A,other,other,home,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,3,2,4,10
98,GP,M,15,U,GT3,T,other,other,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,5,5,5,0,15
99,GP,F,15,U,LE3,A,other,other,home,mother,1,2,yes,no,no,yes,yes,yes,yes,yes,5,3,1,0,11
100,GP,M,18,U,GT3,T,services,other,course,mother,2,1,no,no,no,no,yes,no,yes,no,4,4,5,0,8
101,GP,M,15,R,GT3,T,at_home,services,course,mother,1,2,yes,no,yes,yes,yes,yes,no,no,4,4,1,2,8
102,GP,F,17,U,GT3,A,other,other,course,mother,2,3,no,no,no,yes,yes,yes,yes,yes,3,2,3,10,12
103,GP,F,16,U,GT3,T,teacher,services,home,mother,2,2,no,yes,yes,yes,yes,yes,yes,no,5,3,1,0,10
104,GP,M,17,R,LE3,T,other,services,course,mother,4,2,no,no,no,yes,yes,no,no,yes,5,3,5,0,7
105,GP,M,18,U,GT3,T,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,yes,4,3,5,11,11
106,GP,F,16,U,GT3,T,services,other,course,mother,1,4,yes,yes,yes,no,yes,yes,yes,no,4,3,5,4,6
107,MS,M,18,R,LE3,T,at_home,other,other,mother,2,2,no,no,no,yes,no,no,no,no,4,4,5,2,12
108,GP,F,18,U,GT3,T,services,other,course,mother,2,2,no,yes,yes,yes,yes,yes,yes,no,5,3,1,0,0
109,GP,M,16,U,GT3,T,teacher,teacher,course,mother,1,1,no,yes,no,no,yes,no,yes,yes,3,3,5,0,0
110,GP,F,16,U,GT3,A,services,other,course,father,1,1,no,no,no,no,yes,yes,yes,no,3,2,5,16,11
111,GP,M,15,U,LE3,A,health,health,other,father,2,1,no,no,no,no,yes,yes,no,no,5,5,5,6,10
112,GP,M,17,R,GT3,T,other,other,course,mother,1,1,no,no,no,no,no,yes,yes,no,4,4,5,0,12
113,GP,F,18,R,LE3,T,at_home,other,reputation,mother,2,4,no,yes,yes,yes,yes,yes,no,no,5,2,3,1,12
114,GP,M,18,U,GT3,T,teacher,other,course,mother,1,3,no,yes,yes,no,yes,yes,yes,yes,5,4,5,0,9
115,GP,M,16,U,LE3,T,other,other,home,mother,2,2,no,yes,yes,no,yes,yes,yes,no,3,4,5,18,6
116,GP,F,17,U,GT3,T,other,other,reputation,mother,1,2,no,no,yes,no,yes,yes,yes,yes,3,4,1,22,4
117,GP,M,18,U,GT3,T,services,services,reputation,mother,1,3,no,no,yes,yes,yes,yes,yes,no,4,2,2,6,14
118,MS,F,17,U,GT3,T,other,at_home,home,mother,1,3,no,no,no,yes,yes,yes,no,yes,3,4,3,8,11
119,GP,M,18,U,GT3,T,other,other,home,mother,2,2,no,yes,yes,no,yes,yes,yes,no,3,3,4,0,13
120,GP,F,18,U,LE3,T,services,services,home,mother,1,4,no,yes,no,no,yes,yes,yes,no,5,3,1,7,17
121,GP,M,16,U,LE3,A,teacher,health,reputation,mother,1,2,no,yes,no,no,yes,yes,no,no,4,1,5,18,7
122,GP,F,17,U,GT3,T,services,teacher,home,mother,2,1,no,yes,no,no,yes,yes,yes,no,4,2,2,24,18
123,GP,M,16,U,GT3,T,at_home,other,reputation,mother,2,3,no,no,no,yes,yes,yes,yes,yes,5,3,2,10,10
124,GP,F,19,U,GT3,T,health,other,reputation,other,2,2,no,yes,yes,yes,yes,yes,yes,no,2,3,2,0,0
125,GP,F,18,U,GT3,T,at_home,other,course,mother,1,3,no,yes,no,no,yes,yes,yes,no,4,3,3,4,10
126,GP,F,15,U,GT3,T,other,other,other,father,2,1,no,yes,no,yes,yes,yes,no,no,3,5,5,0,6
127,GP,F,16,U,LE3,T,health,health,other,mother,1,3,no,yes,yes,yes,yes,yes,yes,yes,5,4,4,4,16
128,GP,M,15,U,GT3,T,other,teacher,reputation,father,2,2,no,yes,no,yes,yes,yes,no,no,4,4,2,2,14
129,MS,M,18,R,LE3,T,at_home,services,other,father,3,1,no,yes,yes,yes,yes,no,yes,yes,4,3,3,3,12
130,GP,M,16,U,GT3,T,at_home,other,reputation,other,3,2,yes,yes,no,no,no,yes,yes,no,5,3,2,6,10
131,GP,M,19,R,GT3,T,other,services,reputation,father,1,2,no,no,no,yes,yes,yes,no,yes,4,5,5,0,12
132,GP,F,16,U,LE3,T,at_home,other,course,mother,1,2,no,yes,no,no,yes,yes,no,no,4,3,2,4,6
133,GP,M,16,R,LE3,T,teacher,other,home,father,3,1,no,yes,yes,yes,yes,yes,yes,no,3,3,3,8,10
134,GP,M,17,U,LE3,A,teacher,services,home,mother,1,1,no,no,no,no,yes,yes,yes,no,4,4,3,19,10
135,GP,F,15,U,LE3,T,services,services,reputation,father,1,2,yes,no,no,yes,yes,yes,yes,yes,4,4,2,0,10
136,GP,F,19,U,LE3,T,services,other,reputation,other,2,2,no,yes,yes,no,no,yes,yes,yes,4,2,1,22,11
137,GP,F,18,U,GT3,T,other,other,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,yes,4,3,5,9,9
138,GP,F,15,U,GT3,A,other,health,reputation,father,1,4,yes,no,no,no,yes,yes,no,no,4,3,4,10,11
139,GP,M,16,U,GT3,T,health,other,course,mother,1,1,no,yes,no,yes,yes,yes,yes,no,3,4,5,18,13
140,GP,M,17,U,GT3,T,services,services,other,mother,1,2,no,yes,no,yes,yes,yes,yes,yes,4,3,4,12,11
141,GP,M,17,U,GT3,T,teacher,teacher,reputation,mother,1,2,yes,yes,no,yes,yes,yes,yes,yes,4,5,2,14,9
142,GP,M,16,U,LE3,T,other,other,course,mother,2,1,no,no,no,yes,yes,yes,no,no,4,4,5,0,0
143,MS,M,19,U,LE3,T,other,at_home,course,father,1,1,no,no,no,no,yes,yes,yes,no,3,2,5,5,9
144,GP,M,15,U,GT3,T,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,6,10
145,GP,F,18,R,GT3,T,other,other,reputation,mother,1,2,no,no,no,yes,yes,yes,yes,yes,5,3,4,16,7
146,MS,F,18,U,LE3,T,teacher,services,course,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,3,1,0,8
147,GP,F,16,U,GT3,A,services,other,course,mother,1,2,no,yes,yes,no,yes,yes,yes,no,2,3,4,5,7
148,GP,M,18,U,LE3,T,at_home,other,course,mother,4,2,yes,yes,yes,yes,yes,yes,yes,yes,4,3,3,14,9
149,GP,M,15,U,GT3,T,services,services,home,father,1,4,no,yes,yes,yes,yes,yes,yes,no,5,5,5,6,15
150,MS,M,18,U,LE3,T,at_home,services,course,mother,1,1,no,no,no,no,yes,no,yes,yes,4,3,3,7,8
151,GP,F,15,U,GT3,T,teacher,health,reputation,mother,1,2,no,yes,yes,no,yes,yes,yes,no,3,3,2,0,9
152,GP,M,16,U,GT3,T,services,other,home,mother,1,2,no,no,yes,yes,yes,yes,yes,yes,4,2,3,2,12
153,GP,F,17,U,LE3,T,health,other,reputation,father,1,2,no,no,no,yes,yes,yes,yes,yes,3,2,3,14,14
154,GP,M,15,U,GT3,T,health,health,other,father,1,1,no,yes,yes,no,yes,yes,yes,no,5,4,5,0,15
155,GP,M,18,U,GT3,T,other,other,course,mother,1,3,no,no,no,yes,yes,yes,yes,no,4,3,3,3,11
156,MS,M,21,R,GT3,T,other,other,course,other,1,1,no,no,no,no,no,yes,no,no,5,5,3,3,7
157,GP,F,17,U,LE3,T,services,other,course,mother,2,2,yes,yes,yes,no,yes,yes,yes,yes,4,4,5,6,12
158,MS,F,18,R,LE3,T,other,other,reputation,mother,2,3,no,no,no,no,yes,yes,yes,no,5,4,1,0,19
159,GP,M,16,R,GT3,T,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,yes,yes,no,3,5,4,8,18
160,GP,F,17,U,GT3,T,services,teacher,reputation,mother,1,3,no,yes,yes,no,yes,yes,yes,no,4,3,3,6,12
161,MS,M,18,R,GT3,T,other,other,course,mother,2,1,no,yes,no,no,no,yes,yes,no,2,5,5,10,13
162,GP,M,16,U,LE3,T,teacher,other,course,mother,1,1,no,no,no,yes,no,yes,yes,no,5,4,3,0,0
163,GP,F,18,U,GT3,T,other,other,home,mother,2,2,yes,no,no,yes,yes,yes,yes,no,5,4,4,4,10
164,MS,M,18,U,LE3,T,teacher,services,other,mother,2,3,no,no,yes,no,yes,yes,yes,yes,4,2,5,0,13
165,GP,F,15,U,GT3,T,services,services,course,mother,1,1,yes,yes,yes,no,yes,yes,yes,no,3,3,5,0,11
166,GP,F,16,U,LE3,A,other,services,home,mother,1,2,no,yes,no,no,yes,yes,yes,no,2,3,3,12,11
167,GP,M,16,U,GT3,T,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,2,16
168,GP,M,15,U,GT3,T,services,teacher,course,father,1,2,no,yes,no,yes,yes,yes,yes,no,4,3,5,2,18
169,GP,F,16,U,GT3,T,services,services,reputation,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,3,2,2,6,14
170,GP,M,16,U,GT3,T,health,services,reputation,mother,1,4,no,no,no,yes,yes,yes,yes,no,4,2,2,4,20
171,GP,M,15,U,LE3,T,other,other,course,mother,1,2,no,no,no,yes,no,yes,yes,no,5,3,2,0,12
172,GP,F,19,R,GT3,A,services,at_home,home,other,1,3,no,no,yes,no,yes,yes,no,no,5,4,5,12,13
173,GP,M,15,R,GT3,T,health,services,reputation,mother,1,2,no,no,no,yes,yes,yes,yes,yes,5,4,5,8,9
174,GP,M,15,R,GT3,T,at_home,teacher,course,mother,4,2,no,yes,no,no,yes,yes,no,yes,5,3,5,0,0
175,GP,M,16,U,GT3,T,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,3,4,3,10,8
176,GP,F,18,U,LE3,T,other,other,home,other,2,2,no,yes,yes,no,yes,yes,yes,yes,4,4,2,10,8
177,GP,F,16,U,GT3,T,other,other,home,mother,1,2,no,yes,yes,no,no,yes,yes,no,5,1,4,0,0
178,GP,M,16,U,LE3,T,other,other,reputation,mother,2,2,no,yes,no,yes,yes,yes,yes,no,5,4,5,0,12
179,MS,F,17,R,GT3,T,teacher,services,other,father,2,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,4,13
180,GP,F,16,U,GT3,T,at_home,other,home,mother,1,2,yes,no,no,yes,yes,yes,yes,no,3,1,5,6,13
181,GP,M,15,U,GT3,T,teacher,other,home,mother,1,2,no,yes,yes,no,yes,yes,no,no,4,3,5,2,14
182,GP,F,16,U,GT3,T,other,other,reputation,mother,3,2,yes,yes,no,yes,yes,yes,no,no,5,3,4,4,10
183,GP,F,15,U,GT3,T,teacher,services,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,4,2,5,2,11
184,GP,F,15,R,GT3,T,at_home,other,home,mother,2,4,yes,yes,yes,yes,yes,yes,yes,no,3,1,1,2,10
185,GP,F,15,R,GT3,T,services,teacher,course,father,2,3,no,yes,no,no,yes,yes,yes,yes,4,2,5,0,0
186,GP,F,18,U,LE3,A,health,other,home,mother,1,2,no,yes,no,no,yes,yes,yes,yes,4,2,4,14,11
187,GP,M,18,U,GT3,T,health,other,reputation,father,1,2,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,10,10
188,GP,F,18,U,GT3,T,other,other,reputation,father,1,4,no,yes,yes,no,yes,yes,yes,no,4,3,3,0,14
189,GP,F,18,U,GT3,T,health,health,reputation,father,1,2,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,15,8
190,MS,M,17,U,LE3,T,services,services,course,mother,2,1,no,no,no,no,no,yes,yes,no,2,4,2,3,16
191,GP,M,17,U,GT3,T,at_home,services,course,father,1,1,no,no,no,no,yes,no,yes,no,5,3,2,2,10
192,GP,M,15,U,GT3,A,other,services,reputation,mother,1,4,no,yes,no,yes,no,yes,yes,yes,1,3,3,4,12
193,GP,F,15,U,GT3,T,other,other,reputation,mother,1,3,no,yes,no,yes,yes,yes,yes,no,5,3,1,4,14
194,GP,M,16,U,GT3,T,services,services,course,mother,2,1,no,yes,no,yes,no,no,no,no,4,5,2,16,12
195,GP,F,17,U,GT3,T,teacher,services,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,5,4,4,7,9
196,GP,M,15,U,GT3,T,health,services,home,mother,1,2,no,yes,yes,no,no,yes,yes,no,5,4,5,0,12
197,GP,M,15,U,GT3,T,teacher,other,reputation,mother,1,2,no,no,no,no,yes,yes,yes,no,4,4,1,0,15
198,GP,F,18,R,GT3,T,at_home,other,course,mother,3,1,no,yes,no,yes,no,yes,no,no,5,2,4,6,10
199,GP,M,16,R,GT3,T,at_home,other,course,mother,3,1,no,no,no,no,no,yes,no,no,4,2,3,2,15
200,GP,M,15,U,LE3,T,teacher,services,home,mother,1,3,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,18
201,GP,M,18,U,GT3,T,teacher,services,home,father,1,2,no,yes,no,yes,yes,yes,yes,no,4,3,2,0,0
202,GP,F,19,U,GT3,T,at_home,other,course,other,1,2,no,yes,no,no,no,no,no,no,3,4,5,2,9
203,GP,F,19,U,GT3,T,other,other,reputation,other,1,4,no,yes,yes,yes,yes,yes,yes,no,4,3,3,10,8
204,GP,F,17,U,GT3,T,other,other,course,mother,1,2,no,yes,yes,no,no,yes,no,no,4,4,1,4,10
205,GP,F,16,U,GT3,T,at_home,services,home,mother,1,2,no,no,no,yes,no,yes,yes,yes,4,3,3,0,0
206,GP,F,15,U,GT3,T,at_home,services,course,mother,1,2,no,no,no,no,no,yes,yes,no,3,2,1,2,15
207,GP,F,17,U,GT3,T,other,other,reputation,mother,2,3,no,yes,yes,no,yes,yes,yes,no,4,3,3,0,14
208,GP,F,16,U,GT3,T,teacher,other,other,mother,1,2,no,no,yes,yes,yes,yes,yes,yes,1,3,1,10,13
209,GP,M,19,U,GT3,T,teacher,services,reputation,other,2,1,no,yes,yes,no,yes,yes,yes,yes,4,3,4,38,8
210,GP,F,18,R,GT3,T,other,other,reputation,mother,2,2,no,yes,no,no,yes,no,yes,yes,4,3,3,0,0
211,GP,M,19,U,GT3,T,other,services,course,other,1,2,no,no,no,no,no,yes,yes,no,4,5,4,3,11
212,GP,F,17,U,LE3,T,other,other,course,father,1,1,no,yes,no,no,yes,yes,yes,yes,3,4,5,12,12
213,GP,F,16,U,LE3,T,teacher,teacher,reputation,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,5,3,0,10
214,GP,F,17,U,GT3,T,health,health,reputation,father,1,4,no,yes,yes,yes,no,yes,yes,no,5,2,5,0,18
215,GP,F,19,U,GT3,T,other,services,home,other,1,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,15,9
216,GP,M,15,R,GT3,T,other,other,course,mother,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,3,6,7
217,GP,M,20,U,GT3,A,services,other,course,other,1,1,no,no,no,yes,yes,yes,no,no,5,5,5,0,18
218,GP,M,15,U,GT3,T,services,other,course,mother,1,1,no,yes,no,yes,no,yes,yes,no,5,3,5,4,14
219,GP,M,15,U,GT3,T,other,other,home,mother,1,3,yes,no,yes,no,no,yes,yes,no,5,3,5,4,11
220,GP,F,18,U,GT3,T,at_home,services,home,mother,1,3,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,0,0
221,GP,F,16,U,GT3,T,other,other,home,father,1,2,no,yes,yes,no,yes,yes,no,no,4,3,5,4,10
222,GP,M,16,U,GT3,T,other,other,home,mother,1,1,no,yes,yes,no,no,yes,yes,no,5,4,5,0,15
