,G1,G2,G3,failures,Dalc,Walc,goout,Fedu,Medu
151,10,8,9,0,1,2,3,4,4
152,12,13,12,0,1,2,3,3,3
153,13,13,14,0,1,2,3,3,4
154,12,15,15,0,1,1,2,4,4
155,9,12,11,0,2,2,3,4,4
156,10,8,7,3,3,3,3,1,1
157,12,12,12,0,2,3,4,2,2
158,19,18,19,0,1,1,4,4,4
159,18,18,18,0,2,5,5,4,4
160,13,12,12,0,1,1,3,1,1
161,11,13,13,1,5,5,5,2,3
162,6,0,0,0,1,1,5,3,4
163,8,9,10,0,1,1,4,1,1
164,13,13,13,0,2,2,2,4,4
165,8,10,11,0,2,3,4,4,4
166,11,12,11,0,1,4,5,3,3
167,13,15,16,0,1,1,2,0,1
168,19,18,18,0,1,1,3,4,4
169,13,14,14,0,1,2,3,4,4
170,19,19,20,0,1,1,2,3,4
171,8,10,12,0,1,1,2,3,3
172,14,13,13,1,1,2,3,1,3
173,9,9,9,0,1,1,2,1,2
174,9,0,0,0,1,1,3,4,3
175,9,8,8,0,2,3,3,3,4
176,10,8,8,0,1,2,5,3,4
177,6,7,0,0,1,1,5,2,2
178,13,13,12,0,2,4,4,2,2
179,12,13,13,0,1,2,3,4,4
180,10,13,13,1,1,1,2,2,2
181,15,15,14,0,2,2,3,2,4
182,8,10,10,0,1,1,2,3,3
183,9,11,11,0,1,1,2,4,4
184,7,10,10,1,1,1,2,1,1
185,12,0,0,2,2,2,2,4,3
186,12,10,11,0,1,1,4,4,4
187,10,9,10,0,1,3,5,2,4
188,14,13,14,0,1,1,3,3,4
189,9,8,8,1,1,1,4,4,4
190,14,16,16,0,3,4,5,1,3
191,10,10,10,0,1,4,3,3,1
192,13,13,12,0,5,5,3,4,4
193,13,14,14,0,1,3,3,2,4
194,12,11,12,1,1,1,2,2,3
195,10,9,9,0,1,3,4,4,4
196,9,11,12,0,3,4,2,4,4
197,13,14,15,0,1,1,1,3,4
198,9,8,10,3,1,5,5,1,1
199,17,15,15,0,1,2,2,2,2
200,15,16,18,0,1,1,3,3,4
201,10,10,0,1,2,2,3,4,4
202,7,8,9,3,1,1,2,1,0
203,8,8,8,0,1,2,3,3,3
204,9,9,10,0,1,3,4,1,1
205,8,7,0,3,1,1,5,3,1
206,16,15,15,0,1,2,3,2,1
207,15,12,14,0,1,1,3,2,4
208,11,12,13,0,1,1,2,3,4
209,8,9,8,1,1,1,4,4,4
210,6,0,0,0,1,2,5,1,2
211,13,11,11,1,2,2,2,2,1
212,10,13,12,0,1,3,4,2,2
213,9,9,10,0,1,2,2,4,4
214,17,17,18,0,1,2,2,2,3
215,9,9,9,2,3,3,5,3,3
216,5,9,7,2,1,4,4,2,3
217,17,18,18,0,1,1,3,2,3
218,10,13,14,0,1,1,3,4,4
219,11,10,11,0,1,2,2,3,2
220,9,10,0,0,1,1,3,2,2
221,6,10,10,0,1,2,2,3,3
222,12,14,15,0,1,1,3,2,3
223,13,14,13,0,1,1,2,3,3
224,11,12,13,0,1,1,3,3,2
225,15,14,15,2,1,1,3,2,4
226,11,12,11,0,1,2,3,2,1
227,10,10,10,0,1,1,3,2,4
228,14,14,14,0,1,1,2,4,4
229,14,14,14,0,1,3,3,4,4
230,10,9,9,0,4,4,4,3,4
231,7,6,6,0,1,2,2,2,2
232,16,16,16,0,1,5,5,3,4
233,10,13,13,0,3,5,5,4,4
234,9,8,8,0,2,4,5,2,2
235,12,12,13,0,1,1,2,3,2
236,11,11,11,0,1,1,2,2,2
237,10,8,11,0,5,5,5,1,1
238,10,9,9,0,1,1,3,3,3
239,16,15,15,0,1,1,4,4,4
240,13,15,15,0,1,3,3,3,4
241,10,10,10,0,2,4,4,3,1
242,14,12,12,1,1,3,4,1,1
243,8,6,5,2,2,4,4,1,1
244,13,13,13,0,1,4,4,4,1
245,13,15,15,0,2,4,2,2,0
246,6,7,8,1,2,4,4,2,2
247,11,13,14,0,1,1,4,2,2
248,11,11,10,0,1,1,3,0,4
249,7,6,0,2,2,2,2,1,2
250,11,11,11,0,1,3,3,2,2
251,12,10,10,1,1,3,3,1,1
252,13,11,10,0,1,3,4,4,4
253,14,14,14,0,1,2,3,4,4
254,11,10,10,1,1,1,2,2,2
255,15,13,15,0,1,1,3,4,4
256,10,10,10,0,2,3,4,1,3
257,11,15,15,0,1,1,3,3,4
258,6,5,6,0,1,4,4,3,3
259,11,9,9,0,1,1,2,2,2
260,7,6,0,1,1,2,1,1,1
261,10,9,11,0,1,2,5,2,2
262,11,11,10,0,1,1,3,3,2
263,13,12,12,0,1,1,2,1,2
264,8,8,8,0,1,1,2,3,4
265,15,16,16,0,1,1,3,2,4
266,16,17,17,0,2,3,2,4,2
267,11,10,10,0,5,5,5,2,2
268,11,12,11,1,1,3,4,1,2
269,11,11,11,0,3,3,4,4,4
270,17,18,18,0,1,3,2,3,4
271,14,15,15,0,1,3,4,2,3
272,10,10,9,1,2,2,3,2,2
273,15,14,14,0,1,2,4,1,2
274,9,10,9,0,1,1,2,2,1
275,14,15,16,0,1,1,3,2,4
276,14,12,13,0,1,1,3,2,4
277,15,14,14,0,1,3,5,3,2
278,17,16,17,0,1,1,1,4,4
279,11,13,13,0,1,1,3,2,4
280,11,11,11,0,1,1,3,1,1
281,7,7,9,2,1,1,2,2,3
282,8,8,8,1,3,3,4,1,1
283,11,14,14,0,1,2,4,4,4
284,10,9,8,0,1,1,2,4,2
285,15,14,15,0,1,1,2,2,4
286,12,12,11,0,1,1,2,4,3
287,6,6,6,0,1,2,5,1,2
288,14,12,12,1,1,1,3,4,2
289,6,8,8,3,5,5,5,1,3
290,10,9,9,0,1,1,4,3,3
291,12,12,12,0,1,4,5,3,4
292,16,17,17,0,1,1,3,4,4
293,10,12,12,0,1,3,2,3,2
294,13,13,11,0,1,4,4,2,2
295,10,11,9,0,1,1,5,3,3
296,15,15,16,0,1,2,4,4,4
297,16,15,15,0,1,3,4,2,3
298,10,10,10,0,1,1,3,4,2
299,7,8,8,0,4,5,4,2,1
300,8,10,10,0,1,2,1,4,4
301,6,6,8,1,2,4,4,3,3
302,7,8,10,3,2,3,2,1,1
303,8,7,8,0,1,1,4,2,2
304,8,8,10,0,1,2,2,1,1
305,14,15,16,0,3,5,5,3,3
306,13,11,11,1,1,1,2,3,2
307,9,9,9,2,4,5,4,2,2
308,12,11,12,0,1,3,3,3,2
309,8,9,8,0,1,3,3,2,2
310,9,9,10,0,3,4,4,1,3
311,8,9,10,3,2,5,5,1,2
312,6,5,6,0,1,1,4,4,4
313,16,16,15,0,1,1,2,4,4
314,7,5,0,1,1,2,2,3,2
315,7,9,8,0,1,1,5,3,4
